iter	Passed	Remaining
0	56	11227
1	56	5617
2	57	3746
3	57	2814
4	57	2252
5	58	1881
6	58	1613
7	58	1412
8	59	1255
9	59	1129
10	59	1027
11	60	941
12	60	869
13	60	806
14	61	752
15	61	705
16	61	663
17	61	626
18	62	592
19	62	563
20	62	536
21	63	511
22	63	488
23	63	468
24	64	448
25	64	431
26	64	414
27	65	399
28	65	385
29	65	372
30	66	359
31	66	348
32	66	336
33	66	326
34	67	317
35	67	307
36	67	298
37	68	290
38	68	282
39	68	274
40	69	267
41	69	260
42	69	254
43	69	247
44	70	241
45	70	235
46	70	230
47	71	224
48	71	219
49	71	214
50	71	210
51	72	205
52	72	201
53	72	196
54	73	192
55	73	188
56	73	184
57	73	180
58	74	177
59	74	173
60	74	170
61	75	167
62	75	163
63	75	160
64	75	157
65	76	154
66	76	151
67	76	149
68	77	146
69	77	143
70	77	141
71	77	138
72	78	136
73	78	133
74	78	131
75	79	129
76	79	126
77	80	125
78	80	123
79	81	121
80	81	120
81	82	118
82	82	116
83	82	114
84	83	112
85	83	110
86	83	108
87	84	107
88	84	105
89	84	103
90	84	101
91	85	100
92	85	98
93	85	96
94	86	95
95	86	93
96	86	92
97	87	90
98	87	89
99	87	87
100	88	86
101	88	84
102	88	83
103	88	82
104	89	80
105	89	79
106	89	78
107	90	76
108	90	75
109	90	74
110	90	72
111	91	71
112	91	70
113	91	69
114	92	68
115	92	66
116	92	65
117	92	64
118	93	63
119	93	62
120	93	61
121	94	60
122	94	59
123	94	58
124	95	57
125	95	55
126	95	54
127	95	53
128	96	52
129	96	51
130	96	50
131	97	50
132	97	49
133	97	48
134	97	47
135	98	46
136	98	45
137	98	44
138	99	43
139	99	42
140	99	41
141	99	40
142	100	39
143	100	39
144	100	38
145	101	37
146	101	36
147	101	35
148	102	34
149	102	34
150	102	33
151	103	32
152	103	31
153	103	30
154	103	30
155	104	29
156	104	28
157	104	27
158	105	27
159	105	26
160	105	25
161	105	24
162	106	24
163	106	23
164	106	22
165	107	21
166	107	21
167	107	20
168	108	19
169	108	19
170	108	18
171	109	17
172	109	17
173	109	16
174	110	15
175	110	15
176	110	14
177	110	13
178	111	13
179	111	12
180	111	11
181	112	11
182	112	10
183	113	9
184	113	9
185	113	8
186	114	7
187	114	7
188	114	6
189	115	6
190	115	5
191	115	4
192	115	4
193	116	3
194	116	2
195	116	2
196	117	1
197	117	1
198	117	0
199	117	0
